foodName,display_name,food_category,portion_unit_name,portion_gram_weight,source_count,Energy,Energy,Energy,Energy,Carbohydrate,"Sugars, Total",Fiber,Total Sugars,Fiber (AOAC 2011.25),Total fat,Cholesterol,"Fatty acids, total saturated",DHA,EPA,ALA,Protein,"Vitamin A, RAE",Vitamin E,Vitamin D (D2 + D3),Vitamin E,Vitamin C,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,Choline,Vitamin K2 MK-4,Vitamin K1,Vitamin E,Vitamin A,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Iodine,Manganese,Molybdenum,Selenium
armagnac,Armagnac,Other,,,1,159.0,159.0,159.0,159.0,0.0,,0.0,0.0,,4.34,76.0,1.29,0.0,0.0,,28.08,0.0,0.38,0.0,0.38,0.0,0.308,0.139,4.177,,0.415,6.0,0.69,116.5,,1.4,0.38,,16.0,1.11,27.0,133.0,393.0,367.0,2.99,0.056,,,,12.9
aronia_berry,Aronia Berry,Other,,,3,46.0,46.0,46.0,46.0,10.953333333333331,,2.0,9.71,,0.0833333333333333,0.0,0.0026666666666666,0.0,0.0,,0.66,2.0,0.37,0.0,0.37,44.2,0.029,0.024,0.396,,0.04,7.0,0.0,5.8,,7.3,0.37,,16.0,0.28,11.0,20.0,138.0,0.0,0.1,0.038,,,,0.3
arrowhead,Arrowhead,Other,,,2,99.0,99.0,99.0,99.0,20.23,,,,,0.29,0.0,,,,,5.33,0.0,,0.0,,1.1,0.17,0.073,1.65,0.599,0.26,14.0,0.0,,,,,,10.0,2.57,51.0,174.0,922.0,22.0,0.28,0.171,,0.36,,0.7
arrowroot,Arrowroot,Other,,,2,64.77055449330784,64.77055449330784,64.77055449330784,64.77055449330784,13.39,,1.3,,,0.2,0.0,0.039,,,,4.24,1.0,,0.0,,1.9,0.143,0.059,1.693,0.292,0.266,338.0,0.0,,,,,,6.0,2.22,25.0,98.0,454.0,26.0,0.63,0.121,,0.174,,0.7
artichoke,Artichoke,Other,,,1,53.0,53.0,53.0,53.0,11.95,,5.7,0.99,,0.34,0.0,0.079,0.0,0.0,,2.89,1.0,0.19,0.0,0.19,7.4,0.05,0.089,1.11,,0.081,89.0,0.0,34.4,,14.8,0.19,,21.0,0.61,42.0,73.0,286.0,60.0,0.4,0.127,,,,0.2
arugula,Arugula,Other,,,1,18.0,18.0,18.0,18.0,3.53,,1.2,2.35,,1.18,0.0,0.0,,,,2.35,,,,,14.1,,,,,,94.0,,,,112.9,,120.0,176.0,1.69,,,365.0,29.0,,,,,,
asafoetida,Asafoetida,Other,,,1,297.0,297.0,297.0,297.0,2.4,,0.0,0.0,,22.1,66.0,12.7,0.0,0.0,,22.14,135.0,0.24,0.0,0.24,0.0,0.021,0.223,0.181,,0.053,8.0,1.0,15.4,,2.4,0.24,,532.0,0.0,22.0,380.0,81.0,734.0,3.51,0.0,,,,14.5
asam_gelugur,Asam Gelugur,Other,,,1,86.0,86.0,86.0,86.0,11.77,,4.0,1.97,,2.71,0.0,0.367,0.0,0.0,,4.33,7.0,0.63,0.0,0.63,3.2,0.092,0.047,0.654,,0.11,86.0,0.0,16.8,,7.5,0.63,,19.0,1.67,23.0,90.0,237.0,207.0,0.64,0.134,,,,1.7
ascorbic_acid,Ascorbic Acid,Other,,,1,21.0,21.0,21.0,21.0,0.93,,0.0,0.4,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,7.0,0.2,5.0,8.0,73.0,5.0,0.04,0.008,,,,0.1
asiago_cheese,Asiago Cheese,Dairy & Eggs,,,2,241.0,241.0,241.0,241.0,42.855,,0.9,0.895,,3.57,9.0,1.79,,,,8.035,,,,,0.0,1.0,0.357,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,,,92.0,2.6799999999999997,20.0,73.0,66.0,589.0,0.0,0.179,0.0,0.0,0.0,16.0
